original,leet
"you are incorrect--Comrade!
You probably wanted to say that defending oneself against Russian aggression is a war crime! ---and attacking Ukraine is Ok! --How ridiculous you are! Tell your Kremlin bosses to get their troops out of Ukraine and out of Georgia, Moldova, Syria etc.","you aI23 incorrect -- [0/V\I24|)3 ! 
 You probably wanted to say that defending oneself against Russian a66|2e5510|\| is a war crime ! ---and attacking Ukr@ine is 0k ! --How r1d1[_lo_5 you are ! T3ll your Kremlin bosses to get their troops out of _|<I241|\|3 and out of Georgia , Moldova , Sjr14 etc ."
"Those citizens of this nation of inherited freedoms who choose not to cast a vote voice is not heard you say?

Oh contra, contra their voice is heard loud and clear. If you choose not to vote ,your heard loud and clear.  YOU DON'T CARE!!! You are voting by default. Blessed is the silent majority for those who do vote the less opposition the more power of their vote casted will have.  

Can't fix stupid but we are electing them to public office due in large part to the silent majority who choose not to vote.

To my fellow citizens who choose not to vote I suggest that you find another excuse for not voting voice, not being heard is an alternate fact. Suggestion offered DOG ATE MY BALLOT.","Those c1t1z3ns of this nation of inherited freedoms who choose not to cast a vote voice is not heard you s@y ? 

 Oh c0ntra , c0|\|7|24 their voice is heard loud and cl3ar . If you [#oo53 not to \/073 , your heard lou|) and clear .   YOU DON'T [A|23 ! ! ! You a|23 voting by default . Blessed 1s the 5113|\|7 m@j0r1ty for those who |)0 vote the less o|>|>o5171o|\| the m0r3 power of their vot3 c4st3d \/\/111 have .  

 Ca n't fix 5t_|>1|) but we 4re elect1ng them to public 0phph1c3 due in 14|263 part to the silent /V\4]0|217j who choose not to v0t3 . 

 To my fellow citiz3ns who choose not to vote I s_663s7 that you find another 3xc_s3 for not \/o71ng voice , not being heard is an alternate fact . S_663s710|\| offered DOG ATE MY |34LLO7 ."
"I see their share price is up. Proof positive that people are ineffably stupid. Having been suckered as taxpayers (Thanks, Justin Dimwit) they are now making additional voluntary contributions to the Bombardier family.","I see their share pr1c3 is up . Pr00f p05171\/e that p30pl3 are in3phphab1j 5t_|>1|) . Having been 5_c|<3|23|) as 74><|>4jer5 ( Thanks , Justin |)1/V\\/\/17 ) they are n0w ma|<in6 additional \/0lu|\|74rj [0|\|7|21I3_710|\|5 to the B0/V\b4|2dieI2 f@mily ."
".

'Vice-President Mike Pence and Kansas Secretary of State Kris Kobach will lead the commission""

This will no doubt as impartial commission as we have seen in the history of the United  States, right? Right......

Just when ""you"" think the idiot Trump can't get any more stupid, he pulls another piece of crap and does so wit a straight face.

.",". 

 ' V1c3 - President Mike Pence and Kansas Secretary of State Kris Kobach \/\/1ll lead the c0mm1ss10n "" 

 This will |\|0 doubt as impartial commission as we have seen in the h1st0ry of the United   States , right ? Right ...... 

 ]_57 when "" you "" 7#1n|< the idiot Tr_m|> ca n't g37 any more stupid , he |>_115 another p13c3 of crap and does so wit a str41ght face . 

 ."
"The parallels between the ANC and the Sicilian Mafia are glaring. The ANC has always been run by a few ""families"" who treat the state as 'turf' ; as just one big piggy bank for their self-enrichment. The government basically believes we all just work for them. They aren't a democratic government at all, but use the appearances of democracy to give their entitlement practices a mask of legitimacy. The poor and ignorant have been fooled for so long, but people are slowly coming to the ANC for what it is: a self-serving Mafia!","The pa|2allel5 between the ANC and the Sicili4n /V\4ph14 4r3 glaring . The ANC has alwaj5 been I2_|\| by a phe\/\/ "" f4/V\i1ies "" who treat the 57473 as ' 7_|2ph ' ; as j_st one big |>166j bank for their self - enrichment . The government b4sic@lly |33113ve5 we all just w0rk for them . They are n't a democratic g0\/3rn/V\3n7 at 4ll , but _se the a|>|>ea|2ance5 of democracy to gi\/3 their 3|\|titlem3|\|t practices a m4s|< of legitimacy . The poor and ignorant h@ve been fooled for so long , but people 4I23 slowly coming to the ANC for what it 15 : a self - serving M4phi4 !"
"Is that how Tesla's work? I always suspected it was just midgets peddling really fast.
Damn you Elon!","Is that how T3sl4 's \/\/0r|< ? I 41w4y5 suspected it was just midgets peddling re4lly fast . 
 D4mn you Elon !"
Because people tend to be emotion-driven idiots which is why politicians and activists are always aiming at your heartstrings.,Because people 73|\||) to |33 emotion - driven idiots which 1s why politicians and activists are 41\/\/4j5 41/V\1|\|6 at your heartstrings .
"Intel Community: ‘How can we work for a President who Undermines our work?’

Days before taking office, he compared America’s spies to Adolf Hitler’s Gestapo.

American spies do not like having their work dismissed by the president. Nor do they appreciate comparisons to Nazi Germany.

Former CIA Director John Brennan made it clear: “The person who said that should be ashamed of himself,” Brennan said.

Coats’ predecessor, Gen. James Clapper, called Trump’s comments “a terrible, insulting affront … completely inappropriate.”

Trump’s opinions are out of step with the conclusions of the agencies he is supposed to be leading.

Not surprising in a treasonous traitor.","Intel Community : ‘ How can we work for a |>|235i|)3n7 who Undermines our \/\/0|2|< ? ’ 

 Days before taking office , he [o/V\paI2ed 4/V\3ri[4 ’s spies to @d0lf #itler ’s Gestapo . 

 American 5|>135 |)o not like having their \/\/0|2|< d1sm1ssed by the president . Nor |)0 they appreciate co/V\|>4|215on5 to |\|421 Germany . 

 ph0r/V\er CIA Director John Brennan made it [l34r : “ The |>3|250|\| who sa1d that 5h0_1|) be ashamed of himself , ” Brennan s41d . 

 C0ats ’ |>r3|)3c355or , 63|\|. James Clapper , called 7|2_m|> ’s comments “ a 73I2I21|313 , insulting affront … completely 1|\|a|>|>r0|>r1a73 . ” 

 Trump ’s opinions @r3 out of ste|> with the c0ncl_s10ns of the agencies he 1s s_ppos3d to be leading . 

 Not surprising in a tre450n0_5 tI241toI2 ."
hit em low,hit em low
Good bye loser.Thank god he is finally gone.I'm sure cheeto will find a job for ol bill.,Goo|) bye loser . Thank 6od he 1s finally g0|\|3 . I'm sure ch33to w1ll find a j0b for 01 b1ll .
"""Trump tugged in different directions""
-
Love the Asian prostitute reference! I'm sure the appointments are set! What would have been a nice headline for his golden shower escapades with Russian prostitutes? ""Trump showered with hospitality""! Or ""Trump lies washed clean"".",""" Tr_mp tugged in d1ff3r3nt d1I2ect10n5 "" 
 - 
 Lov3 the Asian prostitute reference ! I '/V\ s_re the appointments are set ! What would #a\/3 been a nice h34dl1n3 for his g0ld3n sh0w3r 35[4p4d35 with Russian |>r0571t_735 ? "" Tr_mp 5ho\/\/ere|) with hospitality "" ! Or "" Trump lies washed c13a|\| "" ."
"That is an ignorant comment. Neanderthals weren't even modern humans. Probably the looked more like Australian Aborigines, but no one knows. One thing's for sure, they didn't look like any people today.","That is an ignorant comment . Neanderthals were n't 3v3n /V\0|)3|2|\| h_mans . Probably the looked /V\0I23 like Australian 4b0rigin3s , but no on3 knows . One thing 's for s_r3 , they d1d n't look like any |>3o|>13 70|)4j ."
"Don't be stupid, I can write a book that Great Depression killed 100 millions Americans ... you live in propaganda.","|)o n't I3e stupid , I can \/\/r173 a |300k that Great Depression killed 100 millions Americans ... you 1i\/3 in |>I2o|>464n|)4 ."
"Spin it any way you want, but the MAJORITY of the American people DIDN'T vote for this narcissistic buffoon. He lost that one by a landslide.","Sp1n it any w4y you want , but the MAJORITY of the American people |)1|)|\|'7 vote for this |\|4|2[155is71[ I3uff00|\| . He lost that one by a land5l1d3 ."
no more Chinese please,|\|0 more Chinese please
You're a misogynist.,You '|23 a misogynist .
Justin Trudeau is a true piece of dog dung. A real embarrassment to most of us Canadians. We apologize for our PM to our American friends.,]_571n Tr_d3@_ is a 7|2_3 pi3c3 of |)06 d_|\|6 . A real 3mb4rr4ssm3nt to most of us Canadians . We ap010612e for our |>M to our A/V\3r1[an friends .
Anti-flouriders are in the same boat as anti-vaxers- DAMNED STUPID.!,@nt1 - fl0_rid3rs are in the same boat as anti - \/4xer5- DAMNED STUPID . !
"I live in an area that saw major flood damage in 2013, including areas that were very unexpected. Trump's reversal is just plain stupid.","I 11ve in an ar3a that saw m4j0r flood d@m@ge in 2013 , including areas that were v3|2j _n3xpect3d . Trump 's I23\/3I25a1 15 just plain stupid ."
Actually it were the red states that let America down.  I mean come on.  How could anyone vote for the town butcher to perform brain surgery. This really has nothing to do with being liberal or conservative but rather intelligence and knowledge vs ignorance and plain stupidity.  Stupidity won.  Congratulations Trump supporters.,@ct_4lly it were the r3d states that 13t America down .   I m34n [0/V\3 on .   How c0_ld anyone v07e for the town butcher to perform brain surgery . This really has nothing to d0 with being lib3r@l or conservative but rather int3llig3nc3 and knowledge vs ignorance and plain stupidity .   Stupidity won .   Congr4tul@t1ons Trump s_pp0rt3rs .
"Trump has been an anomaly at the best since I've watched his antics in the '80s.  Thirty years of stupid pet tricks that always had me wondering how anyone would even think about doing a real estate deal with him.  Turns out that was just part of the total dysfunctional package.  And Lisa has seen the same crass, insulting, low brow antics we have for the last year and a half.  The Groper Old Party has done itself in largely due to the silence of those like our three Horsemen.  Pathetic.","Tr_mp has been an 4n0m@ly at the I335t since I 've watched his antics in the ' 80s .   Thirty years of stupid pet tricks that always h@d me \/\/0|\||)3|21|\|6 how anyone would even th1nk about |)01|\|g a real estate deal with him .   T_rns out that was just part of the tot4l dysfunctional package .   And L1sa has 5ee|\| the same cr4ss , 1nsult1ng , low brow ant1cs we have for the last j34|2 and a h4lf .   The Groper Ol|) Party has done itself in largely due to the silence of those like our three #oI2s3/V\3|\| .   Pathetic ."
"""Bell’s attorney, Jeffrey Griffith, said Bell,... is looking forward to fighting the allegations.""   Yeah, I'll bet he's looking forward to it.....just like going to the dentist or having a colonoscopy.  Such stupid lawyer talk!!",""" Bell ’s attorney , Jeffrey G|21phph1t# , said Bell , ... is 1oo|<1n6 ph0r\/\/ard to fi6h7i|\|6 the 4ll3g4t1ons . ""    Yeah , I '11 |337 he 's 100|<i|\|6 forward to it ..... just like g0i|\|g to the |)e|\|71s7 or #4\/1|\|g a colo|\|oscopj .   Such stupid l@wyer 741|< ! !"
"""The rednecks and morons who elected Trump are in their glory, ...""

Is that you Hillary Clinton?",""" The red|\|e[|<s and morons who el3ct3d Trump are in their glory , ... "" 

 Is that you Hillary Cl1nt0n ?"
Elaine Marie Jeffers sounds like a sociopath 😕.,Elaine Marie J3phph3r5 s0_|\|ds like a sociopath  .
"The water is just fine, as is the air.  Those that work in the oil industry drink the same water and breath the same air, as do their families.  Don't fall for the hype by those who make money off the anti this and anti that crap.  Lawyers will keep us safe, as those harmed by industries will sue the hell out of the alleged offenders.  It's all good.  Calm down.  We don't need a colossal sized government with government officials that know nothing about the areas they regulate.","The \/\/473|2 is just fin3 , as is the aiI2 .   Those that work in the 01l i|\|d_57ry drink the same w47er and breath the s@me 41r , as d0 their families .   D0 n't f@ll for the #j|>e by those who m@k3 money off the a|\|t1 this and anti that cr@p .   Lawyers will keep us safe , as those h@rm3d by industries w1ll 5u3 the h3ll out of the alleged offenders .   It '5 all g00d .   Calm down .   We d0 n't need a colossal sized government with government 0phph1[1415 that k|\|0\/\/ nothing about the @r34s they regulate ."
"Brasil? Nobody cares - third world rubbish country, the direction in which Hawaii is also going.","Brasil ? Nobody cares - third world rubbish country , the direction in which Hawaii is also g0ing ."
"Agree but I have to say that the jokers in charge of this state are hardly Democrats.  The self-interested monocrats that run this state into the ground are an unique blend of arrogance, incompetence and treachery.","Agr33 but I #4\/3 to say that the ]ok3r5 in ch4rg3 of this state aI23 hardly D3m0cr4ts .   The 53lf - interested /V\0|\|0cI2475 that run this 57473 into the ground are an unique blend of arrogance , incompetence and tr34ch3ry ."
Pretty dumb to make enemies of the Intelligence and Judiciary branches...could be some interesting leaks coming up.,|>r377j d_mb to make 3n3mi3s of the 1|\|73ll163|\|[3 and ]u|)1[14rj branches ... could be some 1nt3r3st1ng leaks coming up .
"Rep. Steve King of Iowa is a heartless bastard. Anyone willing to deport a person who was brought here as a child, grew up in America and knows no other country is unfit to be a lawmaker. 
Sen. Graham's proposal is fair and consistent with American values, it should be adopted by Congress.","Rep. Steve King of 10\/\/4 15 a #34r71355 bastard . Anyone \/\/i11i|\|6 to deport a |>3|2s0|\| who was brought h3r3 as a child , gr3w up in America and k|\|o\/\/5 no other co_ntry is _nf1t to b3 a 1awma|<er . 
 S3n. Graham 's proposal 15 ph41I2 and c0nsist3nt with American values , it should be 4d0p73d by Congress ."
There are some incredibly stupid people on this planet.,There 4|2e some incredibly s7_|>i|) people on this planet .
"No worries. 

This guy is a coward. Just like all bullies. 

Besides, he doesn't know how to actually get anything done. Just blister, menace, and grope, as long as he holds some kind of power over people.

Besides, he's got such a short attention span he's already on to the next golfing trip.","No \/\/0rr1es . 

 This guy is a coward . Just like all b_ll13s . 

 Besides , he does n't |<n0\/\/ how to actually g3t anything done . Ju5t b11ster , men4[e , and grope , as long as he holds some kind of power over people . 

 Besides , he 's got such a shor7 a77en7i0n span he 's already on to the |\|3><7 6o1fi|\|6 tr1p ."
"Anyone who supports a convicted terrorist and murderer who fought against Canada and our Allies with the Taliban should be embarrassed to call themselves Canadian. Khadr was sleep deprived? Boo hoo, what about the Canadian soldiers who were killed in Afghanistan? What about the IED's Khadr was filmed building? Omar Khadr is a traitor and a Canadian by passport only, he had spent a total of 15 months in Canada prior to his capture while fighting alongside like-minded Taliban cowards. The entire Khadr family is an embarrassment to Canada and so is this payout. Khadr is owed nothing. Canada looks like a pathetic joke among our Allies.","Anyone who supports a c0|\|v1ct3|) terrorist and /V\_|2|)3I23r who f0_ght against C4n4d4 and our Allies with the 7411I34|\| sh0uld be 3m|34I2I24553d to [4ll themselves Canadian . Khadr was sl33p deprived ? Boo hoo , what about the [4|\|4|)14|\| soldiers who were |<i113d in Afghanistan ? What about the 13D 's Khadr was f1lmed building ? Omar K#4|)I2 is a 7I2a170|2 and a Canadian by passport only , he h@d spent a t0tal of 15 months in Canada |>I210I2 to his [4|>t_I2e while phi6h7i|\|6 alongside l1ke - minded Taliban cowards . The 3|\|71I23 Khadr ph4/V\11j is an 3mb@rr@ssm3nt to Canada and so is this paj0_t . Kh@dr 15 ow3d nothing . Canada 100|<5 like a p@thet1c joke among our Alli3s ."
"As long as your willing to pay a lot more for products you buy, then fine.
But you better not be going to Costco and Walmart to buy stuff because it's cheaper.
If so, we get to call you a hypocritical wanker.","A5 lo|\|6 as your w1ll1ng to |>4y a lot more for products you b_j , then f1n3 . 
 But you better not be go1ng to [0s7[0 and Walmart to buy stuff because it 's che@per . 
 If so , we g3t to call you a hyp0cr1t1c@l wanker ."
"She is delusional. Russia, IMHO, only has interest in stirring up trouble within the US government for fun and to make us look divided and stupid. Why would they want to get rid of MW?","She is d3l_si0n@l . R_ss1a , 1/V\#0 , 0nly has 1nterest in stirring up troubl3 within the _S g0v3|2|\|/V\3|\|7 for f_n and to make us 100|< divi|)e|) and stupid . Why would they want to get rid of MW ?"
"Another brilliant lefty who has chosen to ruin his life for a petty political prank.

What are these knuckleheads learning in school?  It certainly isn't common sense.","Another brilliant 13f7j who has chosen to |2u1|\| his life for a petty political prank . 

 What are these knuckleheads l3@rn1ng in 5[h001 ?   It certainly is n't common 53|\|53 ."
"There is silly, very silly and the Gov't of Ontario","There 15 s1lly , very silly and the 6ov'7 of Ontario"
A rock has more mental horsepower than the indubitably ignorant. And more integrity as well. They're largely very dishonest people who repeat the same lies over and over. Just like their 🍊 hero.,A rock h@s m0r3 ment@l horsepower than the indubitably ignorant . And more 1|\|t36|21tj as well . They 're 14I2631j very dishonest people who repeat the same 11e5 0v3|2 and over . J_st like their  hero .
"What I remember most about these floods, is the incredible stupidity on the part of sightseers.

I saw people duck under the ""Police Line - Do Not Cross"" tape we had strung along Bear Creek in Jeffco, to go down and get a better look at the water.  I even caught one idiot with his two-year old child toddling around the bank next to the rushing water.

I asked several people that I caught on the wrong side of the tape, ""You just ducked under tape that says ""Police Line - Do Not Cross.  What do you expect me to do with this?  You DO realize that I could arrest you?"".

Dumb, sullen looks in response.  Apparently I was the bad guy.","What I remember m0st about these floods , i5 the 1|\|c|23|)1b13 57_|>1|)17j on the pa|2t of s1ghts33rs . 

 I saw people duck under the "" Police Line - D0 Not [|2oss "" tape we #4|) strung along Bear Cr33k in Jeffco , to 6o down and get a better l00k at the water .   I 3\/3|\| c4_ght one idiot with his two - ye4r old ch1ld 7odd11|\|6 around the bank n3xt to the rushing \/\/a73|2 . 

 I 45|<e|) s3v3r4l |>30|>13 that I [4_6#7 on the wrong 51|)3 of the 74p3 , "" You just ducked under tape that says "" P0l1c3 Line - |)0 Not Cr0ss .   What do you expect me to do with this ?   You D0 r341123 that I could 4I2I235t you ? "" . 

 Dumb , sullen looks in response .   Apparently I was the bad guy ."
Not necessarily stupid.  Willfully ignorant is more likely.  That's why the average Trump supporter knows zero about the green economy and truly believes coal is coming back under Trump.,Not |\|3[3554|211j stupid .   \/\/1llphullj ignorant is /V\0|23 likely .   That 's why the @v3r4g3 Trump supporter knows zero about the gr33n 3[0|\|0/V\y and truly bel1eves co@l is com1ng |34ck under Trump .
"monster:  What the F*&^?    FALSELY ACCUSED...................Keep using the LSD, and next you will be telling us ""YOU walk on Water"".","/V\0n57eI2 :   What the F*&^ ?     FALSELY ACCUSED ................... |<33|> us1|\|6 the LSD , and |\|3><7 you will b3 telling us "" YOU walk on Water "" ."
"My first impression of Fairbanks in May of 1990 was ""What a dump. I bet I end up living here."" I ended up living here. It is decidedly not a dump.

After several years in Denali (where I met my now wife) we settled in Fairbanks for better job prospects. Initially I wasn't sure about the place but as I came to learn the extensive trail system the mountain biker in me went nuts. I also found plenty of things to get involved in because Fairbanks residents have to create their own good times. People here are doers. When you meet someone questions don't revolve around jobs, we ask where have you hiked/biked/hunted/fished/climbed/etc. In other words, how have you taken advantage of this place and what it offers? You can go to a party and find a millionaire swapping trail tales with a plumber and they've known each other for years and you can't tell which is which from the looks of them.

As for suggestions, visit in March. There is no finer place on Earth than Fairbanks, Alaska, in March.","My f1r5t impression of F@irb@nks in May of 1990 wa5 "" What a dump . I |3et I end up l1v1ng here . "" I ended up living here . It is d3c1d3dly not a dump . 

 After several years in Den4li ( where I met my n0w wife ) we s3ttl3d in ph4iI2b4|\||<s for better ]0I3 prosp3cts . Initially I w45 n't sure about the |>1a[3 but as I came to 134r|\| the extensive tI2411 system the mountain I31|<3I2 in me went nuts . I 4l50 found plenty of things to ge7 involved in because Fa1rbanks residents have to cr34t3 their 0\/\/|\| good 71/V\es . P30p13 here @re doers . When you m33t someone questions do n't revolve around jobs , we 45|< where h4\/e you #1|<3|) / bi|<3|) / hunted / f1sh3d / [11/V\b3|) / etc . In 0ther \/\/0|2|)s , how h@v3 you taken 4dv@nt4g3 of this place and what it 0phphe|2s ? You can go to a p@rty and find a /V\111i0|\|41I23 swapping trail t4l3s with a |>1u/V\|33|2 and they 've |<|\|ow|\| each 0th3r for years and you [4 n't tell which 1s which from the l00ks of them . 

 As for suggestions , v1s17 in M@rch . There is no finer |>l4[3 on E4|2t# than ph41I2b4|\|k5 , Alaska , in March ."
"We could, but that would a VERY STUPID ideal since it is a VERY REAL issue.  But hey, we can ignore reality if that's what your political persuasion tells you to do.","We could , but that \/\/0_1|) a VERY ST_P1D ideal since it is a VERY REAL issue .   But hey , we can ignor3 r3@lity if that 's what your political p3rs_@s10n 73115 you to do ."
Just remember Wynne loves to throw these law suites around as taxpayers flip the bill. She is one arrogant person.,J_st remember Wynne loves to t#|2o\/\/ these law suites around as taxpayers fl1p the bill . She is one arrogant p3rs0|\| .
"Gee, has he done anything positive, howler? Do enlighten us.

Here's a wild thought - maybe the stories are negative because he's such an incompetent, petty windbag? Why waste your time defending it?","Gee , has he d0ne anything |>0si7i\/3 , howler ? |)0 enlighten us . 

 Here 's a w1ld thought - maybe the stories are n36471\/3 because he 's such an incompetent , |>377j windbag ? Why \/\/457e your t1m3 defend1ng it ?"
